ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,0,rf_embedded,9,20,0;2;7;8;11;13;14;16;18,lag_20;lag_18;lag_13;lag_12;lag_9;lag_7;lag_6;lag_4;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,1,rf_embedded,6,20,0;4;8;14;16;18,lag_20;lag_16;lag_12;lag_6;lag_4;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,2,rf_embedded,8,20,0;2;7;8;13;14;16;18,lag_20;lag_18;lag_13;lag_12;lag_7;lag_6;lag_4;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,3,rf_embedded,7,20,0;2;5;8;14;16;18,lag_20;lag_18;lag_15;lag_12;lag_6;lag_4;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,4,rf_embedded,7,20,0;2;8;11;14;16;18,lag_20;lag_18;lag_12;lag_9;lag_6;lag_4;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,5,rf_embedded,8,20,0;2;7;8;13;14;16;18,lag_20;lag_18;lag_13;lag_12;lag_7;lag_6;lag_4;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,6,rf_embedded,7,20,0;2;5;7;8;14;18,lag_20;lag_18;lag_15;lag_13;lag_12;lag_6;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,7,rf_embedded,7,20,0;2;8;14;15;16;18,lag_20;lag_18;lag_12;lag_6;lag_5;lag_4;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,8,rf_embedded,9,20,0;2;5;7;8;14;15;16;18,lag_20;lag_18;lag_15;lag_13;lag_12;lag_6;lag_5;lag_4;lag_2
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,9,rf_embedded,6,20,0;2;7;8;14;18,lag_20;lag_18;lag_13;lag_12;lag_6;lag_2
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,0,rf_embedded,1,1,0,lag_1
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,1,rf_embedded,1,1,0,lag_1
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,2,rf_embedded,1,1,0,lag_1
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,3,rf_embedded,1,1,0,lag_1
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,4,rf_embedded,1,1,0,lag_1
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,5,rf_embedded,1,1,0,lag_1
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,6,rf_embedded,1,1,0,lag_1
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,7,rf_embedded,1,1,0,lag_1
