Serie,Baseline_RMSE,ftest_RMSE,ftest_PctGain,ftest_NFeatures,mutualinfo_RMSE,mutualinfo_PctGain,mutualinfo_NFeatures,rfembedded_RMSE,rfembedded_PctGain,rfembedded_NFeatures,lasso_RMSE,lasso_PctGain,lasso_NFeatures,rfecv_RMSE,rfecv_PctGain,rfecv_NFeatures
Unemployment,36.518626,,,,,,,,,,,,,,,
airlines,15.166544,15.166544,0.000000,20.000000,15.166544,0.000000,20.000000,19.848089,-30.867579,8.000000,19.286125,-27.162288,1.000000,14.387693,5.135324,17.000000
ausbee,16.923026,,,,,,,,,,,,,,,
austres,18.911936,18.911936,0.000000,1.000000,18.911936,0.000000,1.000000,18.911936,0.000000,1.000000,18.911936,0.000000,1.000000,18.911936,0.000000,1.000000
coloradoRiver,0.336957,0.319876,5.069061,9.000000,0.298722,11.347128,1.000000,0.297139,11.816896,4.000000,0.328528,2.501384,1.000000,0.313057,7.092957,11.000000
gasoline,203.321525,,,,,,,,,,,,,,,
heartrate,0.744283,,,,,,,,,,,,,,,
lakeerie,0.391823,,,,,,,,,,,,,,,
lynx,614.909481,,,,,,,,,,,,,,,
milk,4.708803,,,,,,,,,,,,,,,
ozon,1.406547,,,,,,,,,,,,,,,
pollution,944.420170,,,,,,,,,,,,,,,
redwine,406.893090,,,,,,,,,,,,,,,
samurec,7.549767,7.549767,0.000000,15.000000,7.549767,0.000000,15.000000,7.152692,5.259440,7.000000,6.944713,8.014218,1.000000,7.682947,-1.764017,14.000000
sunspot,19.265001,20.285784,-5.298640,1.000000,19.265001,0.000000,9.000000,20.480786,-6.310851,4.000000,21.060600,-9.320523,2.000000,19.433213,-0.873151,6.000000
temperature,3.217987,,,,,,,,,,,,,,,
windspeedfortaleza,0.482622,0.482622,0.000000,20.000000,0.542709,-12.450144,9.000000,0.632192,-30.991244,9.000000,0.414850,14.042412,1.000000,0.453583,6.016917,17.000000
woolyrnq,523.277236,,,,,,,,,,,,,,,
